,title_article,subtitle_article,date_article,author_article,body_article,section_title,url_article
0,['Nuevas Ideas arrebata 10 alcaldías a ARENA en La Unión'],"['De 18 municipios en dicho departamento, 10 serán gobernados por el partido cian, el tricolor gobernará en tres, FMLN en dos alcaldías y el PNC en una.']",[' 6 de marzo de 2021'],[' por Cecilia Fuentes'],"['El Partido Nuevas Ideas gobernará en 10 municipios de los 18 que conforman el departamento de La Unión, según los resultados preliminares del Tribunal Supremo Electoral de las elecciones del pasado 28F.Meanguera del Golfo, Lislique y Polorós eran algunos de los bastiones de ARENA pasarán a Nuevas Ideas. El partido tricolor después de gobernar en 13 alcaldías, solo gobernará en tres municipios: San Alejo, Santa Rosa del Lima y Yayantique.En Lislique, el edil electo Jaime Rivera, con 2,513 votos, logró arrebatarle la comuna a Margarito Pérez Pérez, quien tenía más de 20 años gobernando en dicho municipio. Mientras que en Polorós, Amerto Romero Ríos, después de pasar 24 años dirigiendo la alcaldía deberá entregar el mando al alcalde electo Rubén Martínez .La misma situación pasó en Meanguera del Golfo donde el alcalde arenero Luis Dheming estuvo frente a la comuna desde 2012; así como en Bolívar, Jorge Alberto Lazo Perla, cumplió cuatro periodos gobernando la alcaldía. Las municipalidades serán gobernadas desde mayo por Nuevas Ideas y GANA, respectivamente.FOTOS / Estos son los rostros de la derrota del FMLN, ARENA y PDC tras el 28FLa cabecera del municipio, Nueva Esparta, Conchagua, El Carmen y Concepción de oriente son otros municipios donde también el partido cian salió victorioso.Mientras que, el FMLN ganó la reelección en Yucuaiquín así como en El Sauce. En Intipuca, bajo la bandera del PCN seguirá Elenilson Leonzo.El Salvador tendrá a partir del 1 de mayo un mapa político diferente a años anteriores, ya que los resultados preliminares dan el poder casi absoluto a Nuevas Ideas, en la Asamblea Legislativa y en las alcaldías.Preliminarmente, y a nivel nacional el FMLN que tenía a su cargo 64 alcaldías pasará a tener solo 30 comunas. Y ARENA gobernaba en 140 y ahora solo tendrá en 37 municipios. Perdió 103.Alcaldes electos de La UniónLa Unión:  Oscar Parada, Nuevas Ideas (6,154 votos)Yucuaiquín:  Rosa Ramírez, FLMN ( 1,377 votos)Nueva Esparta:  Melva Meléndez, Nuevas Ideas (3,590 votos)Polorós: Rubén Martínez, Nuevas Ideas/CD (1,992 votos)Bolívar:  Víctor García, GANA (1,114 votos)Concepción de oriente: Hugo Ortéz, Nuevas Ideas/CD (2,221 votos)Intipuca: Elenilson Leonzo, PCN (1,456 votos)San José Las Fuentes: Mario Cruz, GANA (467 votos)Yayantique: Eduardo Márquez, ARENA (1,069 votos)Meanguera del Golfo: Rufino Cruz, Nuevas Ideas (727 votos)Santa Rosa del Lima: Ronny Lazo, ARENA (4,937 votos)Pasaquina: Aparicio Villatoro, Nuevas Ideas (3,302 votos)San Alejo: Immar Barrera, ARENA (2,038 votos)Anamorós: Alfredo Benítez, Nuevas Ideas (3,420 votos)El Carmen: Beronica Guevara, Nuevas Ideas (1,539 votos)Conchagua: Emelic Quezada, Nuevas Ideas (7,135 votos)El Sauce: Enrique Villatoro, FMLN (1,408 votos)Lislique: Jaime Rivera, Nuevas Ideas (2,513 votos)Etiquetas: AlcaldesConcejos municipalesDestacadoElecciones 2021La UniónNuevas Ideas']",DePaís,https://diarioelsalvador.com/nuevas-ideas-arrebata-10-alcaldias-a-arena-en-la-union/49830/
1,"['Fiscalía procesará a los que obstaculicen escrutinio, dice Tribunal Supremo Electoral']","['El FMLN está evaluando retirarse del proceso de escrutinio, según dijeron algunos dirigentes del partido.']",[' 6 de marzo de 2021'],[' por Roberto Alas / Roxana Lemus'],"['La Fiscalía General de la República (FGR) no permitirá que se continúen dando atrasos en el escrutinio final y procesará a aquellas personas que obstaculicen el proceso, aseguró el magistrado del Tribunal Supremo Electoral (TSE) Noel Orellana. El escrutinio final debió comenzar el martes pasado, pero por diversas inconsistencias en el sistema se generaron importantes atrasos e inició oficialmente ayer.\xa0Según el magistrado Orellana, el fiscal general, Raúl Melara, expresó\xa0que a él no le iba a temblar la mano y que iba a instruir a todos sus fiscales para que procedieran penalmente en contra de todas aquellas personas que de alguna u otra manera estaban impulsando que no se desarrollara el proceso de escrutinio final.\xa0\xa0En sus declaraciones, Orellana no precisó qué personas o partidos estaban interfiriendo para que el escrutinio final no se desarrollara como lo establece la ley.\xa0Por su parte, el asesor jurídico de la presidencia, Javier Argueta, aseguró que en este proceso el papel de la FGR\xa0es clave para darle certidumbre y credibilidad al escrutinio final. «La Fiscalía tiene un papel importante.\xa0\xa0Los fiscales electorales van a tener un papel protagónico verificando, si hay un líder hostigando que se levante su gente, porque el afectado acá es el electorado», opinó. Agregó que, hasta este momento, la Fiscalía ha adoptado un papel prudente.\xa0\xa0«Pero el problema es que hay momentos en que la prudencia menoscaba la voluntad del elector y el sufragio, por lo tanto, se debe ser contundente», dijo.\xa0\xa0Nuevas Ideas arrebata 10 alcaldías a ARENA en La UniónAsimismo, se refirió a la posición que asumió el jueves por la tarde el secretario general del FMLN, Óscar Ortiz, que expresó que podrían retirarse del escrutinio final si las irregularidades continuaban. Para Javier Argueta, el FMLN no ha medido las consecuencias legales y jurídicas que le acarrearía levantarse de las mesas porque estaría incurriendo en los delitos de incumplimiento de deberes y fraude electoral. Una de las irregularidades señaladas ayer por\xa0Schafik\xa0Hándal, del FMLN, es que se había retirado a los miembros de las juntas electorales departamentales (JED) del escrutinio definitivo.\xa0\xa0Los representantes de diferentes JED, entre ellas la de La Unión, expresaron ayer su preocupación e indicaron que se «ha modificado de manera arbitraria una serie de reglas que se han establecido en el instructivo de escrutinio final».\xa0El jueves por la noche, la presidenta del TSE, Dora Martínez, informó que las mesas de trabajo para el conteo definitivo estarán integradas por los representantes de todos los partidos políticos. Los miembros de la JED afirmaron que con los cambios anunciados a ellos los habían retirado del proceso y esto va en contra de la Constitución y del mismo Código Electoral.\xa0Etiquetas: DestacadoEl SalvadorEleccionesEscrutinioFGRTSE']",DePaís,https://diarioelsalvador.com/fiscalia-procesara-a-los-que-obstaculicen-escrutinio-dice-tse/50014/
2,['Asamblea Legislativa remontaría veto a ley de amnistía'],"['La ley fue aprobada en febrero del año pasado por los partidos ARENA, PCN y PDC y fue vetada por el presidente de la república porque mantiene en la impunidad los crímenes cometidos durante la guerra.']",[' 6 de marzo de 2021'],[' por Gerson Chávez'],"['Julio Fabián, el subjefe de fracción de ARENA, anunció que antes de que termine esta legislatura se debe analizar si la Asamblea Legislativa superará el veto presidencial a la ley de reconciliación nacional. La ley fue aprobada por los actuales diputados en la sesión plenaria extraordinaria del 26 de febrero de 2020 y fue vetada al siguiente día por el presidente de la república,\xa0Nayib\xa0Bukele, porque mantendrá en impunidad los crímenes cometidos durante la guerra.\xa0\xa0\xa0La ley que aprobaron los diputados era para sustituir la Ley de Amnistía General para la Consolidación de la Paz, que fue expulsada del ordenamiento jurídico el 13 de julio de 2016 por la Sala de lo Constitucional de la Corte Suprema de Justicia (CSJ), porque impedía el acceso a la verdad, justicia, reparación y garantías de no repetición a favor de las víctimas.\xa0\xa0\xa0«Nosotros pudiésemos revisar un cuerpo de ley que ha quedado pendiente que es la ley de reconciliación nacional. Particularmente me siento con una deuda para mi país porque sabemos que no tenemos una ley de reconciliación después de los Acuerdos de Paz», expresó Fabián, quien el domingo pasado no tuvo el beneplácito de los votantes y no continuará como diputado en la legislatura 2021-2024.\xa0LEA TAMBIÉN: Nuevas Ideas arrebata 10 alcaldías a ARENA en La Unión\xa0La Ley Especial de Justicia Transicional y Restaurativa para la Reconciliación Nacional fue aprobada el año pasado con apenas 44 votos de los partidos ARENA, PCN y PDC, mientras que GANA se mostró en contra y el FMLN no votó tras la presión ejercida por organizaciones de la sociedad civil, que consideraban que ese cuerpo normativo era una nueva «ley de impunidad».\xa0\xa0Nidia Díaz, jefa de fracción del FMLN y quien no logró la reelección para el período 2021-2024, no descartó la superación del veto presidencial. «Hay que revisar qué va a pasar con la ley de reconciliación que fue vetada por el presidente. Estamos pendientes de una resolución de seguimiento que haga la Sala», sentenció la legisladora\xa0efemelenista.\xa0Etiquetas: ARENAAsamblea LegislativaDestacadoFMLNLeyLey de amnistíaPDC']",DePaís,https://diarioelsalvador.com/asamblea-legislativa-remontaria-veto-a-ley-de-amnistia/50018/
3,['Sala protege a financistas de periódico digital El Faro'],['El máximo tribunal admitió un amparo en el que se alega que presentar el comportamiento tributario de la empresa afecta «el derecho de la libertad de expresión e información».'],[' 5 de marzo de 2021'],[' por Cecilia Fuentes y Alex Torres'],"['La Sala de lo Constitucional de la Corte Suprema de Justicia ha protegido a financistas del periódico digital El Faro al aceptar un amparo en el que los representantes legales de dicha empresa alegaron que presentar la información tributaria y documentos como actas de junta directiva afectarían el derecho de la libertad de expresión e información.Desde el año anterior, el ministerio de Hacienda audita las cuentas de la sociedad Trípode, dueña del medio digital y, según lo denunció el presidente Nayib Bukele, habrían negado documentación a los auditores del Ministerio de Hacienda.A mediados del 2020, Hacienda inició una auditoría tributaria de la contabilidad de la empresa del año 2014, 2016, 2017 y 2018.\xa0 La Dirección General de dicha cartera de Estado, dentro del mismo procedimiento, solicitó los libros de actas de la Junta Directiva, a los que los abogados «argumentan que estos contienen aspectos internos del funcionamiento de El Faro, relacionados a la línea editorial, metodología periodística, fuentes e investigaciones en curso».Los abogados del periódico digital tramitaron el recurso de amparo ante la Corte en el que solicitaban que el máximo tribunal dejara de solicitar ese tipo de información contable entre la que estaría información sobre los financistas de su campaña de recolección de dinero que denominan “excavación ciudadana”.Sala protege a financistas de periódico digital El Faro«De revelarse aspectos concernientes a la metodología periodística, fuentes y líneas de investigación, junto aquellos relacionados a la información personal de los suscriptores, se estarían vulnerando los derechos a la libertad de expresión, libertad de información y a la autodeterminación informativa, por lo que en esos términos se entenderá el reclamo formulado», alegaron los abogados.El 24 de septiembre de 2020, Bukele justificó que Hacienda «les está pidiendo los documentos, como se los pide a cualquier empresa».\xa0 En esa misma oportunidad el mandatario agregó que ese diario digital, «ahorita tienen una investigación por lavado de dinero, seria».Los representantes alegan que Hacienda ha excedido facultades legales, ya que entregar dicha información «implicaría una forma de censura».La Sala ordenó a Hacienda abstenerse de continuar con los requerimientos de la documentación e información que han solicitado y justificó la admisión diciendo que «se ha alegado la existencia de un riesgo a los derechos fundamentales de la sociedad actora, de los periodistas que ejercen –o han ejercido dentro de los periodos relevantes– sus labores en el medio de comunicación y de las personas particulares que aportan al mismo».Sin embargo, el máximo tribunal aclaró que la admisión del amparo no constituye\xa0 una obstaculización a la facultad de fiscalización de la administración pública tributaria, «pues el objeto de este proceso no es controlar los procedimientos de fiscalización en sí mismos, ni definir –meramente– si la documentación e información cuestionada tiene relevancia tributaria, sino establecer si –como consecuencia de la eventual entrega de lo requerido– estarían en riesgo los derechos fundamentales a la libertad de expresión, libertad de información y a la autodeterminación informativa».Finaliza juicio y ex primera dama Ana Ligia de Saca se enfrenta a pena máxima de 15 años por lavadoEtiquetas: Corte Suprema de JusticiaEl FaroEl SalvadorJudicial']",DePaís,https://diarioelsalvador.com/sala-protege-a-financistas-de-periodico-digital-el-faro/49942/
4,['Paquetes de alimentos fueron entregados a familias de Ahuachapán'],"['Recientemente arribó a El Salvador un cargamento de 1,166.4 toneladas métricas de alimentos para fortalecer el Programa de Emergencia Sanitaria (PES) y beneficiar a más salvadoreños.']",[' 5 de marzo de 2021'],[' por Rocío Martínez'],"['Este viernes 5 de marzo, fueron entregados paquetes de alimentos a familias como parte del Programa de Emergencia Sanitaria (PES) que el Gobierno salvadoreño ha impulsado.#AyudaALaPuertaDeTuCasa | El Gobierno del Presidente @nayibbukele continúa con la ejecución del Programa de Emergencia Sanitaria (PES), para proporcionar un apoyo económico importante, a través de los #PaquetesAlimentarios, a las familias salvadoreñas. pic.twitter.com/rSa5BHWRXk— Secretaría de Prensa de la Presidencia (@SecPrensaSV) March 5, 2021 Este día los paquetes se entregaron en el caserío Las Piedras y el cantón El Tigre, en la jurisdicción de Ahuachapán.Los insumos entregados son alimentos y artículos de higiene personal, para que las familias logren solventar al menos durante un mes sus necesidades económicas que debido a la pandemia se han visto afectadas.A casi un año de ejecución del PES, el Gobierno ha logrado entregar millones de paquetes de alimentos a las familias salvadoreñas, especialmente a quienes han padecido en una situación vulnerable.El pasado 25 de febrero un buque arribó en el puerto de Acajutla, con un cargamento de 1,166.4 toneladas métricas de alimentos.Eran 50 contenedores los que transportó el buque Sealand Manzanillo, los cuales fueron adquiridos por el Gobierno de El Salvador para fortalecer el Programa de Emergencia Sanitaria y beneficiar a más salvadoreños.Taxistas de San Salvador y Santa Tecla recibieron paquetes de alimentosEtiquetas: AhuachapánGobierno de El SalvadorPaquetes de alimentosPES']",DePaís,https://diarioelsalvador.com/paquetes-de-alimentos-fueron-entregados-a-familias-de-ahuachapan/49910/
5,['Condenan a 20 años de prisión a guatemalteco que traficaba cocaína en territorio salvadoreño'],"['El extranjero transportaba un total de 70 kilos de cocaína e ingresó desde  la frontera La Hechadura, del departamento de Ahuachapán.']",[' 5 de marzo de 2021'],[' por Rocío Martínez'],"['La Fiscalía General de la República (FGR) informó sobre la condena por 20 años hacia un guatemalteco que transportaba un cargamento millonario de cocaína en El Salvador.Se trata de Gilmar Melkicedec Sánchez Gómez, de 34 años, quien fue declarado culpable del delito de Tráfico ilícito en la modalidad internacional.De acuerdo con el informe, el hecho se registró el pasado 25 de marzo de 2019, cuando el imputado ingresó al territorio salvadoreño por medio de la frontera La Hechadura, del departamento de Ahuachapán, en donde las autoridades policiales realizaban revisiones de rutina, y con el apoyo de caninos antidrogas encontraron varios paquetes de sustancias ilícitas que al ser analizadas resultaron ser cocaína.El hallazgo determinó que el guatemalteco transportaba un total de 70 kilos de cocaína, con un valor de $1,750.000, en medio de cartones, según explicó la FGR.Cocaína incautada por la Policía en dos años suma $63 millonesEl pasado 17 de febrero, la Fiscalía General de la República (FGR) y la Policía Nacional Civil (PNC) destruyeron 500 kilogramos de cocaína valorada en $12.5 millones. La droga había sido decomisada en el mismo mes en la zona costera del territorio de El Salvador, según señaló la Fiscalía.La droga fue incautada en el municipio de San Luis La Herradura, en el departamento de La Paz. Fue destruida luego que se desarrollara la audiencia inicial en el Juzgado de Paz de dicho municipio en contra del ciudadano guatemalteco Francisco Martínez, quien fue enviado a prisión mientras dura el proceso judicial en su contra.Etiquetas: CocaínaFGRTRAFICO DE DROGAS']",DePaís,https://diarioelsalvador.com/condenan-a-20-anos-de-prision-a-guatemalteco-que-traficaba-cocaina-en-territorio-salvadoreno/49889/
6,['Mujer fue estrangulada y dejada en la carretera de Oro'],['La víctima no pudo ser identificada por las autoridades.'],[' 5 de marzo de 2021'],[' por Mauricio Pineda'],"['El cadáver de una mujer de entre 35 a 40 años fue localizado en el kilómetro 17 de la carretera de Oro en la jurisdicción de Ciudad Delgado.Según informó una fuente de la Policía, el cuerpo presentaba signos de tortura. Las autoridades no proporcionaron la identidad de la víctima, no obstante, indicaron que aparentemente fue asesinada en otro sector y que luego los criminales dejaron el cadáver en la zona del hallazgo.Finaliza juicio y exprimera dama Ana Ligia de Saca se enfrenta a pena máxima de 15 años por lavadoSe informó que la víctima fue estrangulada y apuñalada. Fuentes policiales indicaron que desde hace varios meses no se tenían reportes de cadáveres encontrados en la carretera de Oro.Otro homicidio más fue reportado por las autoridades pero en Mejicanos, el crimen fue reportado la tarde del jueves sin que se pudiera obtener más detalles del caso. Esta semana la Policía ha tenido que reforzar la seguridad junto a la Fuerza Armada en la coloniaEtiquetas: Carretera de OroHomicidios']",DePaís,https://diarioelsalvador.com/mujer-fue-estrangulada-y-dejada-en-la-carretera-de-oro-2/49885/
7,['Finaliza juicio y ex primera dama Ana Ligia de Saca se enfrenta a pena máxima de 15 años por lavado'],"['El Tribunal dará a conocer el fallo el 5 de mayo, la exprimera dama podría recibir la pena máxima de 15 años por lavado de dinero, ya que esa es la solicitud que hizo la Fiscalía a los jueces.']",[' 5 de marzo de 2021'],[' por Juan Carlos Vásquez'],"['La exprimera dama Ana Ligia de Saca, decidió llegar hasta el final de un largo proceso penal, pese a que tuvo en su momento la oportunidad de acortarlo mediante un proceso abreviado, lograr una condena mínima de tres años y evitar la posibilidad de una pena de 15 años que podría recibir si los jueces del Tribunal Cuarto de Sentencia la encuentran responsable por el delito de lavado de dinero.El abogado de la exprimera dama, Miguel Flores Durel, tuvo acercamientos con la Fiscalía para que su defendida fuera enjuiciada en un procedimiento abreviado, las negociaciones avanzaron al grado que se había acordado una pena de tres años a cambio de que admitiera el delito y devolviera al Estado los más de $17 millones sustraidos del erario, según confirmó ayer uno de los fiscales.Pero el acuerdo se le cayó a la exprimera dama debido a que ella no estaba dispuesta a pagar la cantidad de dinero que el ministerio Público le exigía devolver, la única condición para que se le otorgara el beneficio era regresar el dinero.Si la imputada hubiese decidido devolver ese dinero que según la Fiscalía fue sustraído de la cuenta subsidiaria del Tesoro Público de Casa Presidencial, a esta fecha ya hubiese incluso cumplido la condena de tres años, ya que el caso se activó legalmente el 30 de octubre de 2016, cuando se giraron las órdenes de captura.LEA TAMBIÉN: Cámara anula orden de captura de hermano y principal socio de Sigfrido Reyes«Ella había solicitado que se le estableciera una pena de tres años, era legal y viable, pero debía retribuir el monto que procedió a lavar. Ella se expone a una condena de cinco a 15 años; nosotros hemos pedido 15 años y es el reproche que consideramos que debe hacer el Estado salvadoreño a la procesada en virtud del daño económico que generó, aunado que ella era una funcionaria que gozaba de alta credibilidad y eso abuso de confianza es parte del reproche que debe de considerarse», sostuvo el fiscal.Para el representante de la Fiscalía, han cerrado el juicio con una gran probabilidad de lograr fuertes condenas ya que no ha quedado ninguna duda sobre la existencia del lavado de dinero y que ella participó en los hechos.«El desfile probatorio ha dejado bien claro la participación de la ciudadana en el delito de lavado de dinero y estamos seguros que vamos a lograr una condena», agrego el fiscal.Etiquetas: Ana Ligia de SacaDestacadoFiscalíalavado de dineroVista pública']",DePaís,https://diarioelsalvador.com/finaliza-juicio-y-exprimera-dama-ana-ligia-de-saca-se-enfrenta-a-pena-maxima-de-15-anos-por-lavado/49873/
8,['Anciano muere al caer en barranca de San Marcos'],"['Se disponía a cambiar unas tuberías cuando perdió el equilibrio, informaron autoridades.']",[' 5 de marzo de 2021'],[' por Francisco Campos'],"['Un hombre de 80 años murió, este viernes, luego de caer en una barranca de unos 75 metros de profundidad ubicada en calle La Arenera de la colonia San Antonio 4, municipio de San Marcos.La víctima mortal fue identificada por la Policía Nacional Civil (PNC) como Víctor Manuel Pérez, de quien se informó reparaba unas tuberías cuando perdió el equilibrio y cayó al barranco.Fuentes policiales informaron que familiares del anciano comentaron que Pérez se había empeñado en hacer las reparaciones, pese al peligro que corría. Uno de los parientes le aconsejó que mejor contratará personal capacitado para hacer las reparaciones.Cámara anula orden de captura de hermano y principal socio de Sigfrido ReyesAl lugar se hizo presente personal de Cruz Verde Salvadoreña para recuperar el cuerpo de la víctima de la quebrada Tamalapa, también llegó personal de Inspecciones Oculares de la Policía para constatar que efectivamente se trató de un accidente.Las autoridades informaron que la muerte del anciano fue al instante y que cuando los cuerpos de socorro llegaron a la escena el hombre estaba sin vida. Para sacar el cadáver el personal de Cruz Verde utilizó una camilla y cuerdas para sujetar el cuerpo.Etiquetas: Policía Nacional CivilQuebrada TamalapaSan Marcos']",DePaís,https://diarioelsalvador.com/mujer-fue-estrangulada-y-dejada-en-la-carretera-de-oro/49865/
9,['Gobierno continúa trabajando por la dignificación de la carrera policial con el Plan Control Territorial'],['Entre los beneficios que el Gobierno salvadoreño ha brindado está el bono de alimentación para el personal involucrado en tareas de seguridad a nivel nacional.'],[' 5 de marzo de 2021'],[' por Diario El Salvador'],"['Tras la puesta en marcha del Plan Control Territorial, en junio del 2019, la corporación policial demandó de sus efectivos mayor esfuerzo y compromiso en el combate a las estructuras criminales. Por ello, el Presidente Nayib Bukele ordenó de inmediato el incremento del bono trimestral para policías y soldados, quedando de $400.A finales de 2019 el mandatario también determinó que todos los policías y soldados debían recibir un bono mensual de $100, el cual sería efectivo a partir del año 2020 e incrementado a $200 en el año 2021. A estos beneficios también se suma el bono de alimentación para el personal involucrado en tareas de seguridad a nivel nacional.También se dispuso que los efectivos involucrados en la primera línea de prevención del contagio de COVID-19 recibieran un bono mensual de $150, durante los meses que durara la cuarentena.La dignificación del trabajo policial también significó la entrega de uniformes para todas las divisiones, unidades y todos los elementos de las secciones tácticas operativas de la Policía Nacional Civil a nivel nacional.En octubre de 2020 el Presidente Bukele, junto al Ministro de Seguridad Pública, iniciaron la entrega de patrullas para distintas divisiones. Con esta flotilla se mejoró el sistema de patrullaje en las zonas de mayor incidencia delincuencial.A esto se suma que, a la fecha, y de acuerdo a cifras policiales, casi 4 mil efectivos han ascendido a la categoría superior, al tiempo que más de 2 mil nuevos policías han sido integrados a las tareas de seguridad del país.Refuerzan la seguridad en 17 colonias de Soyapango y proyectan otro puesto policialAdemás, en 2020 se entregaron sedes policiales modernas, ubicadas en Ciudad Obrera, Ciudad Arce, La Libertad; San Luis de la Reina, San Miguel; Corinto, en Morazán; El Zamorano, en Jiquilisco, Usulután y la de Verapaz, en San Vicente.De igual manera, se ha iniciado la intervención de 18 sedes policiales más en todo el país; se han incluido delegaciones, subdelegaciones y puestos policiales ubicadas en los departamentos de Santa Ana, Sonsonate, Ahuachapán, Chalatenango, La Libertad, Usulután, La Unión, Cabañas, Cuscatlán, San Vicente y San Salvador.Todo esto conforme a las estrategias del Plan Control Territorial, que ha permitido conseguir cifras históricas de reducción de asesinatos, desaparecidos, extorsiones y otros delitos.Febrero cierra con reducción históricaFebrero 2021 cerró con las cifras más bajas de asesinatos, dejando una tasa incluso más baja que la de febrero 2020, cuando ya estaba implementado el Plan Control Territorial.La Policía Nacional Civil (PNC) reportó 105 personas asesinadas, mientras que febrero del año pasado fueron contabilizadas 122. Para hacer una comparación, febrero de 2019 dejó 288 muertes violentas, el mismo mes de 2012 dejó 413 y en febrero de 2016 la PNC registró 740 homicidios.Etiquetas: Gobierno de El SalvadorPlan Control Territorial']",DePaís,https://diarioelsalvador.com/gobierno-continua-trabajando-por-la-dignificacion-de-la-carrera-policial-con-el-plan-control-territorial/49862/
